,risk1_roi,risk2_roi,risk3_roi,risk4_roi,risk5_roi
2019-11-14,8.892562759448268,35.26929636235036,41.83954018890472,45.10588757205062,65.21635628105184
2019-11-15,8.916405961316968,34.909850152698226,41.42460865049176,44.797393257950716,65.24574330656304
2019-11-16,8.940416001671679,34.70654864460923,41.14906388131408,44.68789271906428,65.39553242699111
2019-11-17,8.964593219169132,34.51019316379217,40.9003260088123,44.56503864013584,65.42229996408204
2019-11-18,8.988948540397303,34.15152676320133,40.43641262020492,44.18080362560181,65.12926506622676
2019-11-19,9.013473530719665,33.7884148726786,39.94486922636497,43.63500566158331,64.64033423726997
2019-11-20,9.038118409083296,33.30374909887411,39.25013203807953,42.7126441629423,63.70830306776861
2019-11-21,9.06283629155223,32.799700428633685,38.50197222462171,41.6016336495654,62.51245053923711
2019-11-22,9.08767126933526,31.99893823744611,37.266759134207604,39.84235536557307,60.58562025300827
2019-11-23,9.112623115212571,31.036030590273185,35.74974251738723,37.6752601391002,58.18478532230239
2019-11-24,9.137533351334298,30.057003618727947,34.20560984821623,35.611912436993634,55.9540041800808
2019-11-25,9.162355621235292,28.714667238227605,32.0557294807918,32.68348147750166,52.865307248283045
2019-11-26,9.187059229848188,27.765320263048892,30.50825410090556,30.50998354417601,50.551563101887126
2019-11-27,9.211656802680409,26.89992924124533,29.109699197948146,28.628960340925147,48.53965669373238
2019-11-28,9.236160586659295,26.33236103178095,28.120992804428028,27.368808694358634,47.03831147649899
2019-11-29,9.260478812318908,26.145293720174777,27.736779410962072,26.86100535761352,46.37100710351004
2019-11-30,9.28450317904884,26.513309646207716,28.18640916739747,27.456795451485803,46.866600907283896
2019-12-01,9.308390219105718,26.71636241408946,28.383788444186337,27.6155877574638,46.81260397800452
2019-12-02,9.33213355861946,27.153744275029027,29.024826490254668,28.395720085798416,47.41908901765845
2019-12-03,9.355771808185338,27.331394432374083,29.248057968413292,28.661217140267212,47.48770426339556
2019-12-04,9.379279146760922,27.444337489446298,29.35036275384857,28.765191446571237,47.428919900662095
2019-12-05,9.402642988577355,27.219956612876473,28.984106836349923,28.259915210171215,46.79367434881652
2019-12-06,9.425899685411267,27.174114644606476,28.8753724503446,28.085245280658825,46.4008963679795
2019-12-07,9.449129397686505,27.02003615954709,28.6092614980833,27.650351507932527,45.76511224124047
2019-12-08,9.472299503213236,26.96590287985032,28.464089664823888,27.411770521779744,45.35769453610774
2019-12-09,9.495361291787987,27.05833160465447,28.53987581520792,27.444818409486942,45.25852167134127
2019-12-10,9.518299559172576,27.098622807251303,28.549516689403845,27.445258060448737,45.21960687653623
2019-12-11,9.541144442847468,27.071656981207695,28.488794936409306,27.289765143793545,45.19837640154114
2019-12-12,9.563936871558752,27.069206332146678,28.439202306381105,27.185940532193328,45.205423374219095
2019-12-13,9.586696247809897,26.94514460533918,28.257250700876625,26.87908396869244,45.008061481170785
2019-12-14,9.609434435273698,26.73119610743717,27.961359540835588,26.4791872308257,44.637265276618706
2019-12-15,9.632197874599683,26.412691827835772,27.53488353634367,25.8751796636044,44.08552037070774
2019-12-16,9.65508113538013,26.083321630721173,27.04445083713317,25.193700828091195,43.5034329084061
2019-12-17,9.678113892576704,25.674178674537984,26.34644529464535,24.17630636624996,42.548160445926214
2019-12-18,9.701303802347752,25.080748843647314,25.28565440682506,22.640337159180348,40.836226469745554
2019-12-19,9.724623882205464,25.090946551808543,25.087994887089337,22.073905618520897,40.14965768066969
2019-12-20,9.74803416957323,24.960455672939787,24.61756190274636,21.185366741595573,39.20576744321153
2019-12-21,9.771523209759707,24.82170275780193,24.146527294793344,20.336382512324093,38.37651640712929
2019-12-22,9.795053965616319,24.783558538983186,23.800687204381177,19.60905327772059,37.6603724015952
2019-12-23,9.818586867718892,25.020881049769912,23.82493817285696,19.289256036087934,37.32560349712003
2019-12-24,9.842115705937957,25.336381861436834,24.038389470775854,19.26003829097516,37.244676195769216
2019-12-25,9.865606727064119,25.879958399706524,24.697722611738385,19.979292569413616,37.94890146339583
2019-12-26,9.889064726302706,25.79277735132267,24.445187186020434,19.627064387408907,37.56981545469495
2019-12-27,9.912527190266701,25.837650504268623,24.43354623112353,19.634314067740135,37.553139941302305
2019-12-28,9.935989757791788,25.89092220446814,24.4411101587624,19.53368276855811,37.433921038054876
2019-12-29,9.959474331999473,26.044090267067546,24.612701189144587,19.73451657996135,37.6101698065213
2019-12-30,9.983003589597246,26.01156954825126,24.62223864355215,19.789231904926268,37.59988068129178
2019-12-31,10.006535968012685,25.986856496195685,24.663681370268165,19.937450342303663,37.66402162820452
2020-01-01,10.03010592244857,25.965859048591483,24.669845133254853,19.968074365320916,37.59591456120961
2020-01-02,10.053743938512667,26.01943811672885,24.834271978647024,20.212449542689797,37.7744322061676
2020-01-03,10.077449342527203,25.8691466011948,24.711489664172404,20.04491643882605,37.516960981876025
2020-01-04,10.101228829853966,25.983371781697997,24.975208417333647,20.37717322139288,37.72574751713867
2020-01-05,10.125043766087174,26.080944849122545,25.194423912046815,20.616379475324948,37.98663598030586
