,compound,c_r_e_a_m_-finance,definer,dydx,nexo,celsius
2018-11-11,10.518884476090536,11.839349629868078,2.638784479828493,8.09079195164746,12.0,8.8
2018-11-12,10.298643014948917,10.370999959617777,2.5860132473566373,6.905329800109241,12.0,8.8
2018-11-13,10.052834106232524,8.3820902276254,2.753686892779324,6.07483226808044,12.0,8.8
2018-11-14,9.870054694751556,7.565401573593062,2.6926672154035836,5.412434073536749,12.0,8.8
2018-11-15,9.735091118861371,7.728448196552401,2.7162323112338096,4.732866398603299,12.0,8.8
2018-11-16,9.653871430207902,8.233395235558174,2.708565096600073,4.181593480745193,12.0,8.8
2018-11-17,9.571073089984424,8.234896598696764,2.620635118930175,4.11356816034665,12.0,8.8
2018-11-18,9.541953090096884,8.347170022029221,2.4813031671919665,4.203108784679143,12.0,8.8
2018-11-19,9.45999248625425,8.262337215233245,2.449073776983293,6.751053890003811,12.0,8.8
2018-11-20,9.435095045745756,8.471382903864631,2.185636082400179,7.285765348904641,12.0,8.8
2018-11-21,9.450900005523621,8.690997213177733,2.379896927697934,7.833911620894134,12.0,8.8
2018-11-22,9.411312076565334,8.602869227169457,2.504607601325644,7.754015408864595,12.0,8.8
2018-11-23,9.403351673918795,8.083554223498533,2.6394247815490717,7.588058799693305,12.0,8.8
2018-11-24,9.361558390821653,7.390928539658309,2.6993738762969817,7.961643306052884,12.0,8.8
2018-11-25,9.307383800168575,6.928550007063976,2.735836460037152,7.787293386565193,12.0,8.8
2018-11-26,9.321136028853548,6.751181423659149,2.7486319809766075,5.1938122613713205,12.0,8.8
2018-11-27,9.287690751971557,6.687348425744768,2.7779647058418733,4.615906215573584,12.0,8.8
2018-11-28,9.25641125144011,6.559464043012086,2.8179816607605788,3.8969014585517976,12.0,8.8
2018-11-29,9.175205516670891,6.628039124328217,3.2095056606633596,4.084203327243705,12.0,8.8
2018-11-30,9.04433007323161,6.654633241510011,3.426588042283444,5.271747725451514,12.0,8.8
2018-12-01,8.89663688186211,7.312287314018673,3.716183030425533,5.670190839062357,12.0,8.8
2018-12-02,8.751444775576765,7.414141081061394,4.004079879541246,6.618796318901128,12.0,8.8
2018-12-03,8.565164753464384,7.591548219174377,4.088611493422433,7.1857840425553565,12.0,8.8
2018-12-04,8.435246605988542,7.809345934848497,4.418935349540583,7.085087370649802,12.0,8.8
2018-12-05,8.282728339098872,7.995081633354521,4.254379545527995,7.2367498509421875,12.0,8.8
2018-12-06,8.152348087542654,8.01310246226752,4.413088586494819,7.298931718929036,12.0,8.8
2018-12-07,8.03862806471913,8.328436034075834,4.0717468566582316,6.273941372370567,12.0,8.8
2018-12-08,7.952352650938722,8.763556745079057,3.7885717305614315,6.149525039548487,12.0,8.8
2018-12-09,7.8866019595915935,9.345492211779872,3.8945564794059875,5.695298900206923,12.0,8.8
2018-12-10,7.8495871382279105,9.726456071157893,3.927644788216991,6.547374190294142,12.0,8.8
2018-12-11,7.802609199021475,9.372039794060223,3.7997289363864803,7.88746340117075,12.0,8.8
2018-12-12,7.728603157403573,9.104910801497372,4.058860753515459,8.334376574927392,12.0,8.8
2018-12-13,7.64820652875695,8.943489886392836,3.686340921000281,8.513231385790121,12.0,8.8
2018-12-14,7.567160796138427,9.065338953858243,4.1867773938502415,8.755796327248547,12.0,8.8
2018-12-15,7.311509358979417,8.873111517448606,4.7142253187198335,8.893271103846699,12.0,8.8
2018-12-16,7.061926237515623,8.122709653952302,5.0170028219147715,9.092391321240289,12.0,8.8
2018-12-17,6.827719473842646,8.074005814292216,5.078003879974476,8.664654430958294,12.0,8.8
2018-12-18,6.635234049661901,8.258348258363636,5.015467691837615,8.780232018050468,12.0,8.8
2018-12-19,6.488486621694405,8.322922624646734,4.825986114098375,9.167590194177711,12.0,8.8
2018-12-20,6.333660456362304,8.451131484372528,4.692060131073438,9.203067852366365,12.0,8.8
2018-12-21,6.195044547337902,8.048224378989044,4.285792594487345,8.731914947847738,12.0,8.8
2018-12-22,6.254212894064894,7.481720287132676,3.587075606966258,8.00476132616191,12.0,8.8
2018-12-23,6.294804740174548,6.9698713975638364,2.966860890867903,7.296931383788471,12.0,8.8
2018-12-24,6.425545106472507,6.107541158843454,2.9362512450252294,6.735913893504234,12.0,8.8
2018-12-25,6.526941963993453,5.819144063394991,2.9482756029769854,6.335023022351723,12.0,8.8
2018-12-26,6.653549599582626,5.503227373113733,2.991115141402291,6.24485028233843,12.0,8.8
2018-12-27,6.730215644898792,5.163241317405478,3.0659837919652437,6.693336041420828,12.0,8.8
2018-12-28,6.777492226051517,4.959946348377258,3.3119947424385154,7.9344608087461195,12.0,8.8
2018-12-29,6.802511696349654,4.589893331132116,3.7382531563393746,8.569698039249229,12.0,8.8
2018-12-30,6.861760927287016,4.69182194441147,4.03173983624971,9.440768991872947,12.0,8.8
2018-12-31,6.805784069504531,4.50828547469223,4.187789293910874,9.890640791820697,12.0,8.8
2019-01-01,6.759822950644748,4.857746861566368,4.257363567073095,10.037929843333092,12.0,8.8
2019-01-02,6.681676003609465,5.230696725111072,4.102932134399118,10.490464231131806,12.0,8.8
2019-01-03,6.658374486718339,5.7512184631095975,3.9054528040487217,10.954466562069172,12.0,8.8
2019-01-04,6.657690636116565,6.03482634317698,3.7290664394153223,10.944732748080165,12.0,8.8
2019-01-05,6.677144775924736,6.405240035164911,3.4489026750661407,11.179009250426379,12.0,8.8
2019-01-06,6.6964166441542075,6.769287268827433,3.1450595332674394,11.156998042243629,12.0,8.8
2019-01-07,6.661982463734255,7.147636966040885,2.949650307071586,11.099148284661464,12.0,8.8
2019-01-08,6.57979055486202,6.923924552355045,2.7712235410749253,10.470867821674718,12.0,8.8
2019-01-09,6.455921148503218,6.852820169312665,2.870908291513895,9.933498903998919,12.0,8.8
2019-01-10,6.367541263719525,6.621628263201848,2.9866773604857775,9.389497166319254,12.0,8.8
2019-01-11,6.264092065691687,6.656567227229625,2.9766910488884015,9.004629805866474,12.0,8.8
2019-01-12,6.1650460691536795,9.786833323463267,3.012493463978228,8.814373703587162,12.0,8.8
2019-01-13,6.599411235090787,9.174215088425072,2.9542487627633496,8.48544990026348,12.0,8.8
2019-01-14,7.289872528172174,8.775216934438431,2.8563330487935588,8.244557955605305,12.0,8.8
2019-01-15,7.993519199239776,8.205678992826089,2.865797802296079,8.909931161448744,12.0,8.8
2019-01-16,9.15219220567023,8.026213821960138,2.7856834691619192,8.4513785876541,12.0,8.8
2019-01-17,10.127895770054256,7.793116000473687,2.6671793024579356,8.55750260622686,12.0,8.8
2019-01-18,10.929042078146534,7.529028498871595,3.1006371539077024,8.426861705694986,12.0,8.8
2019-01-19,11.953516863904072,4.448069090332917,3.137502380107598,8.224477948954908,12.0,8.8
2019-01-20,12.628698828044252,5.427358110931896,3.119819492405282,9.190746507374167,12.0,8.8
2019-01-21,13.140014110522245,6.260725779723587,3.191846825081772,9.347147686815692,12.0,8.8
2019-01-22,13.613733362722698,9.393200705158103,3.3158709746806396,8.73571371098427,12.0,8.8
2019-01-23,13.503415604217498,10.808800451432072,4.161042979823131,8.931382050863714,12.0,8.8
2019-01-24,13.500506409566375,11.682055598958012,4.273537623176325,9.984283564737419,12.0,8.8
2019-01-25,13.662034029624806,11.473495779919203,3.7252858678313934,10.265185739356133,12.0,8.8
2019-01-26,13.562339653369587,11.128482881009612,3.6303588724894666,11.764949720927074,12.0,8.8
2019-01-27,13.274372233341483,12.237929345052894,3.63403729075585,10.499761241012417,12.0,8.8
2019-01-28,12.89420164091183,12.494899999343156,3.6260329828820295,10.517614817514273,12.0,8.8
2019-01-29,12.469551558719484,10.186399653746971,3.7282380886473194,10.799332230751762,12.0,8.8
2019-01-30,12.149300741776914,9.551889831906143,3.1133339092023986,11.408818419972635,12.0,8.8
2019-01-31,11.729613313939268,9.559183023373034,3.1682893227460176,10.576702300583735,12.0,8.8
2019-02-01,11.31713551708951,10.160160260020573,3.5228347036685976,10.754061799160993,12.0,8.8
2019-02-02,11.055968612384115,10.444128583055425,3.5740334482170826,9.925720795948953,12.0,8.8
2019-02-03,10.863064216458168,10.775391500838614,3.6389466775466643,10.956298001619746,12.0,8.8
2019-02-04,10.7053465798983,12.113955980465517,3.6375300920573035,11.173131936481559,12.0,8.8
2019-02-05,10.564847018487058,12.670427894311798,3.416406888104963,11.010979826539272,12.0,8.8
2019-02-06,10.50725380597599,11.987294693804715,3.1663305299821434,10.608354154819068,12.0,8.8
2019-02-07,10.556938141528855,11.218423953303445,2.9387824750341656,10.242363919106507,12.0,8.8
2019-02-08,10.623391210906728,11.437924142413976,2.6061499982415475,9.229182396390444,12.0,8.8
2019-02-09,10.518884476090536,11.839349629868073,2.638784479828493,8.09079195164746,12.0,8.8
2019-02-10,10.298643014948917,10.370999959617773,2.5860132473566373,6.905329800109241,12.0,8.8
2019-02-11,10.052834106232524,8.382090227625396,2.753686892779324,6.07483226808044,12.0,8.8
2019-02-12,9.870054694751556,7.565401573593058,2.6926672154035836,5.412434073536749,12.0,8.8
2019-02-13,9.735091118861371,7.728448196552398,2.7162323112338096,4.732866398603299,12.0,8.8
2019-02-14,9.653871430207902,8.233395235558168,2.708565096600073,4.181593480745193,12.0,8.8
2019-02-15,9.571073089984424,8.23489659869676,2.620635118930175,4.11356816034665,12.0,8.8
2019-02-16,9.541953090096884,8.347170022029218,2.4813031671919665,4.203108784679143,12.0,8.8
2019-02-17,9.45999248625425,8.262337215233241,2.449073776983293,6.751053890003811,12.0,8.8
2019-02-18,9.435095045745756,8.471382903864626,2.185636082400179,7.285765348904641,12.0,8.8
2019-02-19,9.450900005523621,8.690997213177727,2.379896927697934,7.833911620894134,12.0,8.8
2019-02-20,9.411312076565334,8.602869227169453,2.504607601325644,7.754015408864595,12.0,8.8
2019-02-21,9.403351673918795,8.083554223498528,2.6394247815490717,7.588058799693305,12.0,8.8
2019-02-22,9.361558390821653,7.390928539658304,2.6993738762969817,7.961643306052884,12.0,8.8
2019-02-23,9.307383800168575,6.928550007063971,2.735836460037152,7.787293386565193,12.0,8.8
2019-02-24,9.321136028853548,6.751181423659146,2.7486319809766075,5.1938122613713205,12.0,8.8
2019-02-25,9.287690751971557,6.687348425744765,2.7779647058418733,4.615906215573584,12.0,8.8
2019-02-26,9.25641125144011,6.559464043012082,2.8179816607605788,3.8969014585517976,12.0,8.8
2019-02-27,9.175205516670891,6.628039124328213,3.2095056606633596,4.084203327243705,12.0,8.8
2019-02-28,9.04433007323161,6.654633241510006,3.426588042283444,5.271747725451514,12.0,8.8
2019-03-01,8.89663688186211,7.312287314018668,3.716183030425533,5.670190839062357,12.0,8.8
2019-03-02,8.751444775576765,7.4141410810613895,4.004079879541246,6.618796318901128,12.0,8.8
2019-03-03,8.565164753464384,7.591548219174372,4.088611493422433,7.1857840425553565,12.0,8.8
2019-03-04,8.435246605988542,7.809345934848493,4.418935349540583,7.085087370649802,12.0,8.8
2019-03-05,8.282728339098872,7.995081633354516,4.254379545527995,7.2367498509421875,12.0,8.8
2019-03-06,8.152348087542654,8.013102462267515,4.413088586494819,7.298931718929036,12.0,8.8
2019-03-07,8.03862806471913,8.32843603407583,4.0717468566582316,6.273941372370567,12.0,8.8
2019-03-08,7.952352650938722,8.763556745079054,3.7885717305614315,6.149525039548487,12.0,8.8
2019-03-09,7.8866019595915935,9.345492211779868,3.8945564794059875,5.695298900206923,12.0,8.8
2019-03-10,7.8495871382279105,9.726456071157887,3.927644788216991,6.547374190294142,12.0,8.8
2019-03-11,7.802609199021475,9.372039794060218,3.7997289363864803,7.88746340117075,12.0,8.8
2019-03-12,7.728603157403573,9.104910801497368,4.058860753515459,8.334376574927392,12.0,8.8
2019-03-13,7.64820652875695,8.94348988639283,3.686340921000281,8.513231385790121,12.0,8.8
2019-03-14,7.567160796138427,9.06533895385824,4.1867773938502415,8.755796327248547,12.0,8.8
2019-03-15,7.311509358979417,8.873111517448603,4.7142253187198335,8.893271103846699,12.0,8.8
2019-03-16,7.061926237515623,8.122709653952299,5.0170028219147715,9.092391321240289,12.0,8.8
2019-03-17,6.827719473842646,8.074005814292212,5.078003879974476,8.664654430958294,12.0,8.8
2019-03-18,6.635234049661901,8.258348258363633,5.015467691837615,8.780232018050468,12.0,8.8
2019-03-19,6.488486621694405,8.322922624646731,4.825986114098375,9.167590194177711,12.0,8.8
2019-03-20,6.333660456362304,8.451131484372524,4.692060131073438,9.203067852366365,12.0,8.8
2019-03-21,6.195044547337902,8.048224378989039,4.285792594487345,8.731914947847738,12.0,8.8
2019-03-22,6.254212894064894,7.4817202871326725,3.587075606966258,8.00476132616191,12.0,8.8
2019-03-23,6.294804740174548,6.969871397563833,2.966860890867903,7.296931383788471,12.0,8.8
2019-03-24,6.425545106472507,6.107541158843451,2.9362512450252294,6.735913893504234,12.0,8.8
2019-03-25,6.526941963993453,5.819144063394987,2.9482756029769854,6.335023022351723,12.0,8.8
2019-03-26,6.653549599582626,5.503227373113729,2.991115141402291,6.24485028233843,12.0,8.8
2019-03-27,6.730215644898792,5.163241317405474,3.0659837919652437,6.693336041420828,12.0,8.8
2019-03-28,6.777492226051517,4.959946348377254,3.3119947424385154,7.9344608087461195,12.0,8.8
2019-03-29,6.802511696349654,4.589893331132112,3.7382531563393746,8.569698039249229,12.0,8.8
2019-03-30,6.861760927287016,4.6918219444114655,4.03173983624971,9.440768991872947,12.0,8.8
2019-03-31,6.805784069504531,4.508285474692226,4.187789293910874,9.890640791820697,12.0,8.8
2019-04-01,6.759822950644748,4.857746861566364,4.257363567073095,10.037929843333092,12.0,8.8
2019-04-02,6.681676003609465,5.230696725111067,4.102932134399118,10.490464231131806,12.0,8.8
2019-04-03,6.658374486718339,5.751218463109594,3.9054528040487217,10.954466562069172,12.0,8.8
2019-04-04,6.657690636116565,6.0348263431769755,3.7290664394153223,10.944732748080165,12.0,8.8
2019-04-05,6.677144775924736,6.4052400351649075,3.4489026750661407,11.179009250426379,12.0,8.8
2019-04-06,6.6964166441542075,6.769287268827428,3.1450595332674394,11.156998042243629,12.0,8.8
2019-04-07,6.661982463734255,7.1476369660408805,2.949650307071586,11.099148284661464,12.0,8.8
2019-04-08,6.57979055486202,6.92392455235504,2.7712235410749253,10.470867821674718,12.0,8.8
2019-04-09,6.455921148503218,6.85282016931266,2.870908291513895,9.933498903998919,12.0,8.8
2019-04-10,6.367541263719525,6.621628263201844,2.9866773604857775,9.389497166319254,12.0,8.8
2019-04-11,6.264092065691687,6.656567227229622,2.9766910488884015,9.004629805866474,12.0,8.8
2019-04-12,6.1650460691536795,9.786833323463261,3.012493463978228,8.814373703587162,12.0,8.8
2019-04-13,6.599411235090787,9.174215088425068,2.9542487627633496,8.48544990026348,12.0,8.8
2019-04-14,7.289872528172174,8.775216934438427,2.8563330487935588,8.244557955605305,12.0,8.8
2019-04-15,7.993519199239776,8.205678992826083,2.865797802296079,8.909931161448744,12.0,8.8
2019-04-16,9.15219220567023,8.026213821960132,2.7856834691619192,8.4513785876541,12.0,8.8
2019-04-17,10.127895770054256,7.793116000473683,2.6671793024579356,8.55750260622686,12.0,8.8
2019-04-18,10.929042078146534,7.5290284988715905,3.1006371539077024,8.426861705694986,12.0,8.8
2019-04-19,11.953516863904072,4.448069090332914,3.137502380107598,8.224477948954908,12.0,8.8
2019-04-20,12.628698828044252,5.427358110931891,3.119819492405282,9.190746507374167,12.0,8.8
2019-04-21,13.140014110522245,6.260725779723583,3.191846825081772,9.347147686815692,12.0,8.8
2019-04-22,13.613733362722698,9.393200705158097,3.3158709746806396,8.73571371098427,12.0,8.8
2019-04-23,13.503415604217498,10.808800451432067,4.161042979823131,8.931382050863714,12.0,8.8
2019-04-24,13.500506409566375,11.682055598958007,4.273537623176325,9.984283564737419,12.0,8.8
2019-04-25,13.662034029624806,11.4734957799192,3.7252858678313934,10.265185739356133,12.0,8.8
2019-04-26,13.562339653369587,11.128482881009607,3.6303588724894666,11.764949720927074,12.0,8.8
2019-04-27,13.274372233341483,12.23792934505289,3.63403729075585,10.499761241012417,12.0,8.8
2019-04-28,12.89420164091183,12.49489999934315,3.6260329828820295,10.517614817514273,12.0,8.8
2019-04-29,12.469551558719484,10.186399653746966,3.7282380886473194,10.799332230751762,12.0,8.8
2019-04-30,12.149300741776914,9.55188983190614,3.1133339092023986,11.408818419972635,12.0,8.8
2019-05-01,11.729613313939268,9.559183023373029,3.1682893227460176,10.576702300583735,12.0,8.8
2019-05-02,11.31713551708951,10.16016026002057,3.5228347036685976,10.754061799160993,12.0,8.8
2019-05-03,11.055968612384115,10.44412858305542,3.5740334482170826,9.925720795948953,12.0,8.8
2019-05-04,10.863064216458168,10.77539150083861,3.6389466775466643,10.956298001619746,12.0,8.8
2019-05-05,10.7053465798983,12.113955980465514,3.6375300920573035,11.173131936481559,12.0,8.8
2019-05-06,10.564847018487058,12.670427894311795,3.416406888104963,11.010979826539272,12.0,8.8
2019-05-07,10.50725380597599,11.987294693804712,3.1663305299821434,10.608354154819068,12.0,8.8
2019-05-08,10.556938141528855,11.218423953303441,2.9387824750341656,10.242363919106507,12.0,8.8
2019-05-09,10.623391210906728,11.437924142413973,2.6061499982415475,9.64999218697787,12.0,8.8
2019-05-10,10.518884476090536,11.83934962986807,2.638784479828493,9.014695847364932,12.0,8.8
2019-05-11,10.298643014948917,10.370999959617768,2.5860132473566373,9.020994027999423,12.0,8.8
2019-05-12,10.052834106232524,8.382090227625392,2.753686892779324,8.313011592732561,12.0,8.8
2019-05-13,9.870054694751556,7.565401573593054,2.6926672154035836,8.413620446707945,12.0,8.8
2019-05-14,9.735091118861371,7.728448196552393,2.7162323112338096,8.379997549071568,12.0,8.8
2019-05-15,9.653871430207902,8.233395235558165,2.708565096600073,8.224477948954908,12.0,8.8
2019-05-16,9.571073089984424,8.234896598696755,2.620635118930175,9.190746507374167,12.0,8.8
2019-05-17,9.541953090096884,8.347170022029214,2.4813031671919665,9.347147686815692,12.0,8.8
2019-05-18,9.45999248625425,8.262337215233236,2.449073776983293,8.73571371098427,12.0,8.8
2019-05-19,9.435095045745756,8.471382903864622,2.185636082400179,8.931382050863714,12.0,8.8
2019-05-20,9.450900005523621,8.690997213177724,2.379896927697934,9.984283564737419,12.0,8.8
2019-05-21,9.411312076565334,8.602869227169448,2.504607601325644,10.265185739356133,12.0,8.8
2019-05-22,9.403351673918795,8.083554223498524,2.6394247815490717,11.764949720927074,12.0,8.8
2019-05-23,9.361558390821653,7.3909285396583,2.6993738762969817,10.499761241012417,12.0,8.8
2019-05-24,9.307383800168575,6.928550007063968,2.735836460037152,10.517614817514273,12.0,8.8
2019-05-25,9.321136028853548,6.751181423659141,2.7486319809766075,10.799332230751762,12.0,8.8
2019-05-26,9.287690751971557,6.68734842574476,2.7779647058418733,11.408818419972635,12.0,8.8
2019-05-27,9.25641125144011,6.559464043012078,2.8179816607605788,10.576702300583735,12.0,8.8
2019-05-28,9.175205516670891,6.628039124328209,3.2095056606633596,10.754061799160993,12.0,8.8
2019-05-29,9.04433007323161,6.654633241510003,3.426588042283444,9.925720795948953,12.0,8.8
2019-05-30,8.89663688186211,7.312287314018664,3.716183030425533,10.956298001619746,12.0,8.8
2019-05-31,8.751444775576765,7.414141081061386,4.004079879541246,11.173131936481559,12.0,8.8
2019-06-01,8.565164753464384,7.591548219174369,4.088611493422433,11.010979826539272,12.0,8.8
2019-06-02,8.435246605988542,7.809345934848489,4.418935349540583,10.608354154819068,12.0,8.8
2019-06-03,8.282728339098872,7.995081633354512,4.254379545527995,10.242363919106507,12.0,8.8
2019-06-04,8.152348087542654,8.013102462267511,4.413088586494819,9.229182396390444,12.0,8.8
2019-06-05,8.03862806471913,8.328436034075825,4.0717468566582316,8.09079195164746,12.0,8.8
2019-06-06,7.952352650938722,8.763556745079049,3.7885717305614315,6.905329800109241,12.0,8.8
2019-06-07,7.8866019595915935,9.345492211779865,3.8945564794059875,6.07483226808044,12.0,8.8
2019-06-08,7.8495871382279105,9.726456071157884,3.927644788216991,5.412434073536749,12.0,8.8
2019-06-09,7.802609199021475,9.372039794060214,3.7997289363864803,4.732866398603299,12.0,8.8
2019-06-10,7.728603157403573,9.104910801497365,4.058860753515459,4.181593480745193,12.0,8.8
2019-06-11,7.64820652875695,8.943489886392827,3.686340921000281,4.11356816034665,12.0,8.8
2019-06-12,7.567160796138427,9.065338953858234,4.1867773938502415,4.203108784679143,12.0,8.8
2019-06-13,7.311509358979417,8.873111517448597,4.7142253187198335,6.751053890003811,12.0,8.8
2019-06-14,7.061926237515623,8.122709653952295,5.0170028219147715,7.285765348904641,12.0,8.8
2019-06-15,6.827719473842646,8.074005814292208,5.078003879974476,7.833911620894134,12.0,8.8
2019-06-16,6.635234049661901,8.258348258363629,5.015467691837615,7.754015408864595,12.0,8.8
2019-06-17,6.488486621694405,8.322922624646726,4.825986114098375,7.588058799693305,12.0,8.8
2019-06-18,6.333660456362304,8.451131484372521,4.692060131073438,7.961643306052884,12.0,8.8
2019-06-19,6.195044547337902,8.048224378989035,4.285792594487345,7.787293386565193,12.0,8.8
2019-06-20,6.254212894064894,7.481720287132668,3.587075606966258,5.1938122613713205,12.0,8.8
2019-06-21,6.294804740174548,6.9698713975638285,2.966860890867903,4.615906215573584,12.0,8.8
2019-06-22,6.425545106472507,6.107541158843446,2.9362512450252294,3.8969014585517976,12.0,8.8
2019-06-23,6.526941963993453,5.819144063394982,2.9482756029769854,4.084203327243705,12.0,8.8
2019-06-24,6.653549599582626,5.503227373113725,2.991115141402291,5.271747725451514,12.0,8.8
2019-06-25,6.730215644898792,5.16324131740547,3.0659837919652437,5.670190839062357,12.0,8.8
2019-06-26,6.777492226051517,4.95994634837725,3.3119947424385154,6.618796318901128,12.0,8.8
2019-06-27,6.802511696349654,4.589893331132108,3.7382531563393746,7.1857840425553565,12.0,8.8
2019-06-28,6.861760927287016,4.691821944411461,4.03173983624971,7.085087370649802,12.0,8.8
2019-06-29,6.805784069504531,4.508285474692221,4.187789293910874,7.2367498509421875,12.0,8.8
2019-06-30,6.759822950644748,4.85774686156636,4.257363567073095,7.298931718929036,12.0,8.8
2019-07-01,6.681676003609465,5.230696725111064,4.102932134399118,6.273941372370567,12.0,8.8
2019-07-02,6.658374486718339,5.7512184631095895,3.9054528040487217,6.149525039548487,12.0,8.8
2019-07-03,6.657690636116565,6.034826343176972,3.7290664394153223,5.695298900206923,12.0,8.8
2019-07-04,6.677144775924736,6.405240035164903,3.4489026750661407,6.547374190294142,12.0,8.8
2019-07-05,6.6964166441542075,6.769287268827425,3.1450595332674394,7.88746340117075,12.0,8.8
2019-07-06,6.661982463734255,7.147636966040877,2.949650307071586,8.334376574927392,12.0,8.8
2019-07-07,6.57979055486202,6.923924552355037,2.7712235410749253,8.513231385790121,12.0,8.8
2019-07-08,6.455921148503218,6.852820169312657,2.870908291513895,8.755796327248547,12.0,8.8
2019-07-09,6.367541263719525,6.62162826320184,2.9866773604857775,8.893271103846699,12.0,8.8
2019-07-10,6.264092065691687,6.656567227229617,2.9766910488884015,9.092391321240289,12.0,8.8
2019-07-11,6.1650460691536795,9.786833323463258,3.012493463978228,8.664654430958294,12.0,8.8
2019-07-12,6.599411235090787,9.174215088425063,2.9542487627633496,8.780232018050468,12.0,8.8
2019-07-13,7.289872528172174,8.775216934438422,2.8563330487935588,9.167590194177711,12.0,8.8
2019-07-14,7.993519199239776,8.20567899282608,2.865797802296079,9.203067852366365,12.0,8.8
2019-07-15,9.15219220567023,8.026213821960129,2.7856834691619192,8.731914947847738,12.0,8.8
2019-07-16,10.127895770054256,7.793116000473679,2.6671793024579356,8.00476132616191,12.0,8.8
2019-07-17,10.70369363695627,7.529028498871587,3.1006371539077024,7.296931383788471,12.0,8.8
2019-07-18,11.451607334428429,4.448069090332909,3.137502380107598,6.735913893504234,12.0,8.8
2019-07-19,11.607541077718244,5.427358110931887,3.119819492405282,6.335023022351723,12.0,8.8
2019-07-20,12.004633703606133,6.260725779723579,3.191846825081772,6.24485028233843,12.0,8.8
2019-07-21,12.256108047032829,9.393200705158094,3.3158709746806396,6.693336041420828,12.0,8.8
2019-07-22,11.90521453642049,10.808800451432063,4.161042979823131,7.9344608087461195,12.0,8.8
2019-07-23,11.953516863904074,11.682055598958003,4.273537623176325,8.569698039249229,12.0,8.8
2019-07-24,12.628698828044252,11.473495779919194,3.7252858678313934,9.440768991872947,12.0,8.8
2019-07-25,13.140014110522245,11.128482881009603,3.6303588724894666,9.890640791820697,12.0,8.8
2019-07-26,13.613733362722698,12.237929345052887,3.63403729075585,10.037929843333092,12.0,8.8
